order,category,header,symbol,kind,requirement,option_codes,implementation_status,header_evidence,libc_source,syscall,kernel_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
123,process,<signal.h>,sigprocmask,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/posix.c|userland/base/libc/pthread.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigprocmask.html
124,process,<signal.h>,sigqueue,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/mqueue.c|userland/base/libc/posix.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigqueue.html
125,process,<signal.h>,sigsuspend,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/posix.c|userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigsuspend.html
126,process,<signal.h>,sigtimedwait,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigtimedwait.html
127,process,<signal.h>,sigwait,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigwait.html
128,process,<signal.h>,sigwaitinfo,function,required,CX,implemented,libc/include/signal.h,userland/base/libc/signal.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sigwaitinfo.html
129,process,<unistd.h>,sleep,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sleep.html
130,process,<unistd.h>,symlink,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/symlink.html
131,process,<unistd.h>,symlinkat,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/symlinkat.html
132,process,<unistd.h>,sysconf,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sysconf.html
133,process,<unistd.h>,tcgetpgrp,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcgetpgrp.html
134,process,<unistd.h>,tcsetpgrp,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcsetpgrp.html
135,process,<signal.h>,timer_create,function,required,CX,implemented,libc/include/time.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/timer_create.html
136,process,<unistd.h>,truncate,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/truncate.html
137,process,<unistd.h>,ttyname,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/ttyname.html
138,process,<unistd.h>,ttyname_r,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/ttyname_r.html
139,process,<unistd.h>,unlink,function,required,,implemented,libc/include/unistd.h,userland/base/libc/shm.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/unlink.html
140,process,<unistd.h>,unlinkat,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/unlinkat.html
141,process,<sys/wait.h>,wait,function,required,,implemented,libc/include/sys/wait.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/wait.html
142,process,<sys/wait.h>,waitid,function,required,,implemented,libc/include/sys/wait.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/waitid.html
143,process,<sys/wait.h>,waitpid,function,required,,implemented,libc/include/sys/wait.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/waitpid.html
144,process,<unistd.h>,write,function,required,,implemented,libc/include/unistd.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/write.html
145,sockets,<sys/socket.h>,accept,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/accept.html
146,sockets,<sys/socket.h>,bind,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/bind.html
147,sockets,<sys/socket.h>,connect,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/connect.html
148,sockets,<sys/socket.h>,freeaddrinfo,function,required,,implemented,libc/include/netdb.h,userland/base/libc/resolver.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/freeaddrinfo.html
149,sockets,<sys/socket.h>,getaddrinfo,function,required,,implemented,libc/include/netdb.h,userland/base/libc/resolver.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getaddrinfo.html
150,sockets,<sys/socket.h>,getnameinfo,function,required,,implemented,libc/include/netdb.h,userland/base/libc/resolver.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getnameinfo.html
151,sockets,<sys/socket.h>,getpeername,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getpeername.html
152,sockets,<sys/socket.h>,getsockname,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getsockname.html
153,sockets,<sys/socket.h>,getsockopt,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/getsockopt.html
154,sockets,<sys/socket.h>,listen,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/listen.html
155,sockets,<sys/socket.h>,recv,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/recv.html
156,sockets,<sys/socket.h>,recvfrom,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/recvfrom.html
157,sockets,<sys/socket.h>,recvmsg,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/recvmsg.html
158,sockets,<sys/socket.h>,send,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/send.html
159,sockets,<sys/socket.h>,sendmsg,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sendmsg.html
160,sockets,<sys/socket.h>,sendto,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sendto.html
161,sockets,<sys/socket.h>,setsockopt,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/setsockopt.html
162,sockets,<sys/socket.h>,shutdown,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/shutdown.html
163,sockets,<sys/socket.h>,sockatmark,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sockatmark.html
164,sockets,<sys/socket.h>,socket,function,required,,implemented,libc/include/netdb.h|libc/include/netpacket/packet.h|libc/include/sys/un.h|libc/include/sys/socket.h,userland/base/libc/socket.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/socket.html
165,sockets,<sys/socket.h>,socketpair,function,required,,implemented,include/uapi/zedbsd/socket.h,userland/base/libc/socket.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/socketpair.html
166,synchronization,<sched.h>,sched_yield,function,required,,implemented,libc/include/sched.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sched_yield.html
167,synchronization,<semaphore.h>,sem_close,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_close.html
168,synchronization,<semaphore.h>,sem_destroy,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_destroy.html
169,synchronization,<semaphore.h>,sem_getvalue,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_getvalue.html
170,synchronization,<semaphore.h>,sem_init,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_init.html
171,synchronization,<semaphore.h>,sem_open,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_open.html
172,synchronization,<semaphore.h>,sem_post,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_post.html
173,synchronization,<semaphore.h>,sem_timedwait,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_timedwait.html
174,synchronization,<semaphore.h>,sem_trywait,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_trywait.html
175,synchronization,<semaphore.h>,sem_unlink,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_unlink.html
176,synchronization,<semaphore.h>,sem_wait,function,required,,implemented,libc/include/semaphore.h,userland/base/libc/semaphore.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/sem_wait.html
177,terminal,<termios.h>,cfgetispeed,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/cfgetispeed.html
178,terminal,<termios.h>,cfgetospeed,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/cfgetospeed.html
179,terminal,<termios.h>,cfsetispeed,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/cfsetispeed.html
180,terminal,<termios.h>,cfsetospeed,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/cfsetospeed.html
181,terminal,<termios.h>,tcdrain,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcdrain.html
182,terminal,<termios.h>,tcflow,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcflow.html
183,terminal,<termios.h>,tcflush,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcflush.html
184,terminal,<termios.h>,tcgetattr,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcgetattr.html
185,terminal,<termios.h>,tcgetsid,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcgetsid.html
186,terminal,<termios.h>,tcsendbreak,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcsendbreak.html
187,terminal,<termios.h>,tcsetattr,function,required,,implemented,libc/include/termios.h,userland/base/libc/termios.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/tcsetattr.html
188,threads,<pthread.h>,pthread_atfork,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_atfork.html
189,threads,<pthread.h>,pthread_attr_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_destroy.html
190,threads,<pthread.h>,pthread_attr_getdetachstate,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_getdetachstate.html
191,threads,<pthread.h>,pthread_attr_getguardsize,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_getguardsize.html
192,threads,<pthread.h>,pthread_attr_getschedparam,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_getschedparam.html
193,threads,<pthread.h>,pthread_attr_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_init.html
194,threads,<pthread.h>,pthread_attr_setdetachstate,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_setdetachstate.html
195,threads,<pthread.h>,pthread_attr_setguardsize,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_setguardsize.html
196,threads,<pthread.h>,pthread_attr_setschedparam,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_attr_setschedparam.html
197,threads,<pthread.h>,pthread_barrier_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_barrier_destroy.html
198,threads,<pthread.h>,pthread_barrier_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_barrier_init.html
199,threads,<pthread.h>,pthread_barrier_wait,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_barrier_wait.html
200,threads,<pthread.h>,pthread_barrierattr_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_barrierattr_destroy.html
201,threads,<pthread.h>,pthread_barrierattr_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_barrierattr_init.html
202,threads,<pthread.h>,pthread_cancel,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cancel.html
203,threads,<pthread.h>,pthread_cleanup_pop,function,required,,implemented,libc/include/pthread.h,,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cleanup_pop.html
204,threads,<pthread.h>,pthread_cleanup_push,function,required,,implemented,libc/include/pthread.h,,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cleanup_push.html
205,threads,<pthread.h>,pthread_cond_broadcast,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_broadcast.html
206,threads,<pthread.h>,pthread_cond_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_destroy.html
207,threads,<pthread.h>,pthread_cond_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_init.html
208,threads,<pthread.h>,pthread_cond_signal,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_signal.html
209,threads,<pthread.h>,pthread_cond_timedwait,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_timedwait.html
210,threads,<pthread.h>,pthread_cond_wait,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_cond_wait.html
211,threads,<pthread.h>,pthread_condattr_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_condattr_destroy.html
212,threads,<pthread.h>,pthread_condattr_getclock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_condattr_getclock.html
213,threads,<pthread.h>,pthread_condattr_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_condattr_init.html
214,threads,<pthread.h>,pthread_condattr_setclock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_condattr_setclock.html
215,threads,<pthread.h>,pthread_create,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_create.html
216,threads,<pthread.h>,pthread_detach,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_detach.html
217,threads,<pthread.h>,pthread_equal,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_equal.html
218,threads,<pthread.h>,pthread_exit,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_exit.html
219,threads,<pthread.h>,pthread_getspecific,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_getspecific.html
220,threads,<pthread.h>,pthread_join,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_join.html
221,threads,<pthread.h>,pthread_key_create,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_key_create.html
222,threads,<pthread.h>,pthread_key_delete,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_key_delete.html
223,threads,<pthread.h>,pthread_mutex_consistent,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_consistent.html
224,threads,<pthread.h>,pthread_mutex_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_destroy.html
225,threads,<pthread.h>,pthread_mutex_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,Extending pthread_mutex_t left the static initializer one field short under -Werror.,fixed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_init.html
226,threads,<pthread.h>,pthread_mutex_lock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/account.c|userland/base/libc/utmpx.c|userland/base/libc/pthread.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_lock.html
227,threads,<pthread.h>,pthread_mutex_timedlock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_timedlock.html
228,threads,<pthread.h>,pthread_mutex_trylock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_trylock.html
229,threads,<pthread.h>,pthread_mutex_unlock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/account.c|userland/base/libc/utmpx.c|userland/base/libc/pthread.c|userland/base/libc/resolver.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutex_unlock.html
230,threads,<pthread.h>,pthread_mutexattr_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_destroy.html
231,threads,<pthread.h>,pthread_mutexattr_getrobust,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_getrobust.html
232,threads,<pthread.h>,pthread_mutexattr_gettype,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_gettype.html
233,threads,<pthread.h>,pthread_mutexattr_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_init.html
234,threads,<pthread.h>,pthread_mutexattr_setrobust,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_setrobust.html
235,threads,<pthread.h>,pthread_mutexattr_settype,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_mutexattr_settype.html
236,threads,<pthread.h>,pthread_once,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_once.html
237,threads,<pthread.h>,pthread_rwlock_destroy,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_rwlock_destroy.html
238,threads,<pthread.h>,pthread_rwlock_init,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_rwlock_init.html
239,threads,<pthread.h>,pthread_rwlock_rdlock,function,required,,implemented,libc/include/pthread.h,userland/base/libc/pthread.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/pthread_rwlock_rdlock.html
